OrgCode,OrgName,Procedure,Measure,Modelled_Records_2011,Modelled_Records_2012,Modelled_Records_2013,Modelled_Records_2014,Modelled_Records_2015,Modelled_Records_2016,Modelled_Records_2017,Modelled_Records_2018,Modelled_Records_2019,Adjusted_Health_Gain_2011,Adjusted_Health_Gain_2012,Adjusted_Health_Gain_2013,Adjusted_Health_Gain_2014,Adjusted_Health_Gain_2015,Adjusted_Health_Gain_2016,Adjusted_Health_Gain_2017,Adjusted_Health_Gain_2018,Adjusted_Health_Gain_2019,Outlier_2011,Outlier_2012,Outlier_2013,Outlier_2014,Outlier_2015,Outlier_2016,Outlier_2017,Outlier_2018,Outlier_2019
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Knee Replacement Primary,Oxford Knee Score,0,0,0,0,21,156,225,312,155,-,-,-,-,-,17.222,17.819,15.873,16.155,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier,Negative outlier (95%),Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Knee Replacement,Oxford Knee Score,0,0,0,0,22,161,230,314,155,-,-,-,-,-,17.042,17.754,15.744,16,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier,Negative outlier (95%),Negative outlier (95%)
AVQ,ONE HEALTHCARE,Hip Replacement Primary,EQ VAS,0,0,0,0,0,-,NULL,67,32,-,-,-,-,-,-,NULL,14.562,13.897,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Knee Replacement Primary,EQ VAS,0,0,0,0,0,-,NULL,124,59,-,-,-,-,-,-,NULL,8.258,9.302,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Total Hip Replacement,EQ VAS,0,0,0,0,0,-,NULL,67,32,-,-,-,-,-,-,NULL,13.393,12.577,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Total Knee Replacement,EQ VAS,0,0,0,0,0,-,NULL,124,59,-,-,-,-,-,-,NULL,7.792,8.567,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Hip Replacement Primary,EQ-5D Index,0,0,0,0,0,-,NULL,67,34,-,-,-,-,-,-,NULL,0.47,0.486,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Knee Replacement Primary,EQ-5D Index,0,0,0,0,0,-,NULL,122,60,-,-,-,-,-,-,NULL,0.338,0.326,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Total Hip Replacement,EQ-5D Index,0,0,0,0,0,-,NULL,67,34,-,-,-,-,-,-,NULL,0.446,0.462,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Total Knee Replacement,EQ-5D Index,0,0,0,0,0,-,NULL,122,60,-,-,-,-,-,-,NULL,0.332,0.316,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Hip Replacement Primary,Oxford Hip Score,0,0,0,0,0,-,NULL,72,36,-,-,-,-,-,-,NULL,23.004,22.498,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Total Hip Replacement,Oxford Hip Score,0,0,0,0,0,-,NULL,72,36,-,-,-,-,-,-,NULL,21.146,20.689,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Knee Replacement Primary,Oxford Knee Score,0,0,0,0,0,-,NULL,134,66,-,-,-,-,-,-,NULL,16.975,16.238,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
AVQ,ONE HEALTHCARE,Total Knee Replacement,Oxford Knee Score,0,0,0,0,0,-,NULL,134,66,-,-,-,-,-,-,NULL,16.748,15.895,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Not an outlier,Not an outlier
England,England,Hip Replacement Primary,EQ VAS,0,30730,35716,36431,35122,36236,31975,33934,18242,-,11.634,11.462,11.973,12.404,13.457,14.23,14.422,14.341,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Hip Replacement Revision,EQ VAS,0,2629,2594,2298,2048,1949,1816,1694,849,-,4.906,5.179,5.228,6.279,7.187,7.654,7.704,8.355,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Knee Replacement Primary,EQ VAS,0,33325,36850,38856,38489,39244,38115,38169,20787,-,5.191,5.586,5.761,6.222,7.016,8.28,7.621,7.981,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Knee Replacement Revision,EQ VAS,0,1684,1720,1554,1533,1483,1495,1389,770,-,2.154,1.994,2.072,2.134,3.599,4.892,5.24,6.162,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Total Hip Replacement,EQ VAS,34920,33359,38310,38729,37170,38185,33791,35628,19091,9.964,11.104,11.036,11.573,12.067,13.137,13.877,14.103,14.074,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Total Knee Replacement,EQ VAS,36675,35009,38570,40410,40022,40727,39610,39558,21557,4.472,5.045,5.426,5.619,6.065,6.892,8.153,7.537,7.916,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Hip Replacement Primary,EQ-5D Index,0,31984,37329,38284,36603,37742,33399,35239,18842,-,0.438,0.436,0.436,0.438,0.445,0.468,0.465,0.468,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Hip Replacement Revision,EQ-5D Index,0,2700,2750,2423,2119,2003,1870,1755,866,-,0.27,0.26,0.277,0.283,0.29,0.289,0.287,0.305,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Knee Replacement Primary,EQ-5D Index,0,34777,39071,41028,40306,41113,39716,39609,21526,-,0.318,0.323,0.315,0.32,0.325,0.338,0.338,0.342,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Knee Replacement Revision,EQ-5D Index,0,1754,1807,1628,1587,1563,1553,1436,780,-,0.251,0.248,0.261,0.258,0.273,0.292,0.288,0.314,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Total Hip Replacement,EQ-5D Index,35913,34684,40079,40707,38722,39745,35269,36994,19708,0.416,0.425,0.424,0.427,0.43,0.437,0.458,0.457,0.46,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Total Knee Replacement,EQ-5D Index,37757,36531,40878,42656,41893,42676,41269,41045,22306,0.302,0.315,0.319,0.313,0.318,0.323,0.337,0.337,0.341,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Hip Replacement Primary,Oxford Hip Score,0,35067,39928,41343,39565,40724,36000,38136,20362,-,21.299,21.38,21.443,21.607,21.8,22.68,22.68,22.832,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Hip Replacement Revision,Oxford Hip Score,0,2961,2929,2657,2290,2162,2036,1918,953,-,12.688,12.251,12.751,13.206,13.512,13.901,13.864,14.258,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Total Hip Replacement,Oxford Hip Score,39899,38028,42857,44000,41855,42886,38036,40054,21315,20.077,20.628,20.757,20.918,21.147,21.382,22.21,22.258,22.449,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Knee Replacement Primary,Oxford Knee Score,0,38250,42066,44221,43564,44432,42276,42299,22969,-,15.996,16.273,16.116,16.365,16.546,17.259,17.33,17.449,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Knee Replacement Revision,Oxford Knee Score,0,1907,1941,1765,1725,1689,1665,1568,843,-,11.201,11.44,12.314,11.98,12.346,13.124,13.598,14.351,No procedures,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
England,England,Total Knee Replacement,Oxford Knee Score,41252,40157,44007,45986,45289,46121,43941,43867,23812,15.148,15.769,16.06,15.97,16.198,16.392,17.102,17.197,17.34,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier,Not an outlier
NFH01,SOMERSET SURGICAL SERVICES,Hip Replacement Primary,EQ VAS,0,0,0,0,0,-,NULL,11,11,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Hip Replacement Revision,EQ VAS,0,0,0,0,0,-,NULL,NULL,*,-,-,-,-,-,-,NULL,NULL,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Knee Replacement Primary,EQ VAS,0,0,0,0,0,-,NULL,13,13,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Total Hip Replacement,EQ VAS,0,0,0,0,0,-,NULL,11,11,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Total Knee Replacement,EQ VAS,0,0,0,0,0,-,NULL,13,13,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Hip Replacement Primary,EQ-5D Index,0,0,0,0,0,-,NULL,11,14,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Hip Replacement Revision,EQ-5D Index,0,0,0,0,0,-,NULL,NULL,*,-,-,-,-,-,-,NULL,NULL,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Knee Replacement Primary,EQ-5D Index,0,0,0,0,0,-,NULL,14,13,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Total Hip Replacement,EQ-5D Index,0,0,0,0,0,-,NULL,11,14,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Total Knee Replacement,EQ-5D Index,0,0,0,0,0,-,NULL,14,13,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Hip Replacement Primary,Oxford Hip Score,0,0,0,0,0,-,NULL,11,14,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Hip Replacement Revision,Oxford Hip Score,0,0,0,0,0,-,NULL,NULL,*,-,-,-,-,-,-,NULL,NULL,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Total Hip Replacement,Oxford Hip Score,0,0,0,0,0,-,NULL,11,14,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Knee Replacement Primary,Oxford Knee Score,0,0,0,0,0,-,NULL,14,13,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NFH01,SOMERSET SURGICAL SERVICES,Total Knee Replacement,Oxford Knee Score,0,0,0,0,0,-,NULL,14,13,-,-,-,-,-,-,NULL,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Hip Replacement Primary,EQ VAS,0,*,9,9,4,12,9,14,11,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Knee Replacement Primary,EQ VAS,0,*,11,9,5,10,7,21,8,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Total Hip Replacement,EQ VAS,0,*,9,9,4,12,9,14,11,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Total Knee Replacement,EQ VAS,0,*,11,9,5,10,7,21,8,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Hip Replacement Primary,EQ-5D Index,0,*,9,9,5,13,6,14,12,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Knee Replacement Primary,EQ-5D Index,0,*,12,9,6,11,7,22,12,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Total Hip Replacement,EQ-5D Index,0,*,9,9,5,13,6,14,12,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Total Knee Replacement,EQ-5D Index,0,*,12,9,6,11,7,22,12,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Hip Replacement Primary,Oxford Hip Score,0,*,9,11,5,13,10,17,14,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Total Hip Replacement,Oxford Hip Score,0,*,9,11,5,14,10,17,14,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Knee Replacement Primary,Oxford Knee Score,0,*,11,10,6,12,7,22,14,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN401,TYNESIDE SURGICAL SERVICES,Total Knee Replacement,Oxford Knee Score,0,*,11,10,6,12,7,22,14,-,-,-,-,-,-,-,-,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Hip Replacement Primary,EQ VAS,0,*,8,16,6,21,47,31,33,-,-,-,-,-,-,13.999,13.248,12.437,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Not an outlier,Not an outlier,Not an outlier
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Knee Replacement Primary,EQ VAS,0,8,19,23,24,25,33,56,25,-,-,-,-,-,-,7.613,3.942,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Not an outlier,Not an outlier,Insufficient records
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Knee Replacement Revision,EQ VAS,0,0,0,0,0,-,*,NULL,*,-,-,-,-,-,-,-,NULL,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,No procedures,Insufficient records
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Total Hip Replacement,EQ VAS,0,*,8,16,6,21,47,31,33,-,-,-,-,-,-,13.397,12.041,11.694,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Not an outlier,Not an outlier,Not an outlier
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Total Knee Replacement,EQ VAS,0,8,19,23,24,25,33,56,25,-,-,-,-,-,-,6.876,3.633,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Not an outlier,Not an outlier,Insufficient records
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Hip Replacement Primary,EQ-5D Index,0,*,9,15,6,25,49,33,36,-,-,-,-,-,-,0.395,0.467,0.481,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Negative outlier (95%),Not an outlier,Not an outlier
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Knee Replacement Primary,EQ-5D Index,0,10,19,24,22,31,35,61,23,-,-,-,-,-,0.242,0.262,0.272,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Negative outlier (95%),Negative outlier (95%),Negative outlier (95%),Insufficient records
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Knee Replacement Revision,EQ-5D Index,0,0,0,0,0,-,*,NULL,*,-,-,-,-,-,-,-,NULL,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,No procedures,Insufficient records
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Total Hip Replacement,EQ-5D Index,0,*,9,15,6,25,49,33,36,-,-,-,-,-,-,0.374,0.448,0.463,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Negative outlier (95%),Not an outlier,Not an outlier
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Total Knee Replacement,EQ-5D Index,0,10,19,24,22,31,35,61,23,-,-,-,-,-,0.237,0.256,0.273,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Negative outlier (95%),Negative outlier (95%),Negative outlier (95%),Insufficient records
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Hip Replacement Primary,Oxford Hip Score,0,*,9,19,6,24,52,38,40,-,-,-,-,-,-,20.606,22.515,22.548,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Not an outlier,Not an outlier,Not an outlier
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Total Hip Replacement,Oxford Hip Score,0,*,9,19,6,24,52,38,40,-,-,-,-,-,-,19.739,20.652,21.159,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Negative outlier (95%),Not an outlier,Not an outlier
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Knee Replacement Primary,Oxford Knee Score,0,10,19,27,27,33,37,64,27,-,-,-,-,-,14.254,14.511,14.628,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Not an outlier,Negative outlier (95%),Negative outlier (95%),Insufficient records
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Knee Replacement Revision,Oxford Knee Score,0,0,0,0,0,-,*,NULL,*,-,-,-,-,-,-,-,NULL,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,No procedures,Insufficient records
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,Total Knee Replacement,Oxford Knee Score,0,10,19,27,27,33,37,64,27,-,-,-,-,-,14.212,13.86,14.657,-,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Not an outlier,Negative outlier (95%),Negative outlier (95%),Insufficient records
NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,Hip Replacement Primary,EQ VAS,0,0,0,0,0,-,11,20,5,-,-,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records
NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,Total Hip Replacement,EQ VAS,0,0,0,0,0,-,12,22,5,-,-,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records
NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,Hip Replacement Primary,EQ-5D Index,0,0,0,0,0,-,12,20,5,-,-,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records
NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,Total Hip Replacement,EQ-5D Index,0,0,0,0,0,-,13,22,5,-,-,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records
NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,Hip Replacement Primary,Oxford Hip Score,0,0,0,0,0,-,15,21,5,-,-,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records
NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,Total Hip Replacement,Oxford Hip Score,0,0,0,0,0,-,16,23,5,-,-,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records
NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",Hip Replacement Primary,EQ VAS,0,0,0,0,0,15,25,22,4,-,-,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",Knee Replacement Primary,EQ VAS,0,0,0,0,0,16,20,23,7,-,-,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",Total Hip Replacement,EQ VAS,0,0,0,0,0,15,25,23,4,-,-,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records
NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",Total Knee Replacement,EQ VAS,0,0,0,0,0,16,20,23,7,-,-,-,-,-,-,-,-,-,No procedures,No procedures,No procedures,No procedures,No procedures,Insufficient records,Insufficient records,Insufficient records,Insufficient records
