Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
NTP13,BARLBOROUGH NHS TREATMENT CENTRE,1187,1582,1.3327717,1278,0.8078382,775,0.4898862,576,0.7432258,491,674,1.3727088,534,0.7922849,323,0.4792285,248,0.7678019,476,516,1.0840336,516,1,242,0.4689922,198,0.8181818,15,18,1.2,18,1,10,0.5555556,6,0.6,696,908,1.3045977,744,0.8193833,452,0.4977974,328,0.7256637,686,733,1.0685131,733,1,369,0.5034106,277,0.7506775,10,11,1.1,11,1,8,0.7272727,5,0.625
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,610,399,0.6540984,312,0.7819549,271,0.679198,166,0.6125461,233,169,0.7253219,134,0.7928994,121,0.7159763,67,0.553719,223,127,0.5695067,127,1,102,0.8031496,60,0.5882353,10,7,0.7,7,1,6,0.8571429,4,0.6666667,377,230,0.6100796,178,0.773913,150,0.6521739,99,0.66,358,171,0.4776536,171,1,129,0.754386,92,0.7131783,19,7,0.3684211,7,1,6,0.8571429,4,0.6666667
R1H,BARTS HEALTH NHS TRUST,885,874,0.9875706,569,0.6510297,462,0.5286041,197,0.4264069,296,308,1.0405405,182,0.5909091,169,0.5487013,86,0.5088757,269,171,0.6356877,171,1,96,0.5614035,58,0.6041667,27,11,0.4074074,11,1,7,0.6363636,5,0.7142857,589,566,0.9609508,387,0.6837456,293,0.5176678,111,0.3788396,552,372,0.673913,372,1,191,0.5134409,93,0.486911,37,15,0.4054054,15,1,9,0.6,4,0.4444444
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,514,457,0.8891051,335,0.7330416,278,0.6083151,149,0.5359712,232,211,0.9094828,144,0.6824645,123,0.5829384,67,0.5447154,211,135,0.6398104,135,1,92,0.6814815,57,0.6195652,21,9,0.4285714,9,1,4,0.4444444,1,0.25,282,246,0.8723404,191,0.7764228,155,0.6300813,82,0.5290323,266,185,0.6954887,185,1,122,0.6594595,74,0.6065574,16,6,0.375,6,1,3,0.5,0,0
RC1,BEDFORD HOSPITAL NHS TRUST,369,200,0.5420054,128,0.64,138,0.69,76,0.5507246,187,99,0.5294118,64,0.6464646,66,0.6666667,39,0.5909091,177,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*,182,101,0.5549451,64,0.6336634,72,0.7128713,37,0.5138889,174,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*
NWF01,BENENDEN HOSPITAL,432,179,0.4143519,98,0.547486,112,0.6256983,70,0.625,174,79,0.454023,42,0.5316456,42,0.5316456,29,0.6904762,174,42,0.2413793,42,1,27,0.6428571,19,0.7037037,0,0,0,0,0,0,0,0,0,258,100,0.3875969,56,0.56,70,0.7,41,0.5857143,258,56,0.2170543,56,1,43,0.7678571,28,0.6511628,0,0,0,0,0,0,0,0,0
NWX11,BICS-COMMUNITY,393,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,430,259,0.6023256,202,0.7799228,167,0.6447876,104,0.6227545,199,112,0.5628141,98,0.875,78,0.6964286,47,0.6025641,186,*,*,*,*,*,*,*,*,13,*,*,*,*,*,*,*,*,231,147,0.6363636,104,0.707483,89,0.6054422,57,0.6404494,*,*,*,*,*,*,0.6732673,*,0.6617647,*,*,*,*,*,0,*,0,*
NT402,BMI - BATH CLINIC,245,271,1.1061224,212,0.7822878,153,0.5645756,94,0.6143791,113,127,1.1238938,103,0.8110236,79,0.6220472,51,0.6455696,*,103,*,103,1,69,0.6699029,47,0.6811594,*,0,*,0,0,0,0,0,0,132,144,1.0909091,109,0.7569444,74,0.5138889,43,0.5810811,132,109,0.8257576,109,1,60,0.5504587,39,0.65,0,0,0,0,0,0,0,0,0
NT405,BMI - BISHOPS WOOD,71,28,0.3943662,21,0.75,25,0.8928571,15,0.6,33,11,0.3333333,9,0.8181818,10,0.9090909,5,0.5,*,9,*,9,1,8,0.8888889,5,0.625,*,0,*,0,0,0,0,0,0,38,17,0.4473684,12,0.7058824,15,0.8823529,10,0.6666667,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT409,BMI - CHELSFIELD PARK HOSPITAL,108,30,0.2777778,27,0.9,12,0.4,6,0.5,50,16,0.32,14,0.875,6,0.375,5,0.8333333,50,14,0.28,14,1,6,0.4285714,5,0.8333333,0,0,0,0,0,0,0,0,0,58,14,0.2413793,13,0.9285714,6,0.4285714,1,0.1666667,*,13,0.2321429,*,1,6,0.4615385,1,0.1666667,*,0,*,0,0,0,0,0,0
NT414,BMI - FAWKHAM MANOR HOSPITAL,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT417,BMI - GORING HALL HOSPITAL,370,377,1.0189189,304,0.806366,200,0.530504,137,0.685,188,191,1.0159574,160,0.8376963,107,0.5602094,74,0.6915888,177,150,0.8474576,150,1,94,0.6266667,68,0.7234043,11,10,0.9090909,10,1,5,0.5,1,0.2,182,186,1.021978,144,0.7741935,93,0.5,63,0.6774194,170,136,0.8,136,1,70,0.5147059,54,0.7714286,12,8,0.6666667,8,1,3,0.375,0,0
NT433,BMI - SARUM ROAD HOSPITAL,224,199,0.8883929,166,0.8341709,108,0.5427136,76,0.7037037,113,86,0.7610619,75,0.872093,46,0.5348837,35,0.7608696,113,75,0.6637168,75,1,38,0.5066667,31,0.8157895,0,0,0,0,0,0,0,0,0,111,113,1.018018,91,0.8053097,62,0.5486726,41,0.6612903,*,91,0.8272727,*,1,50,0.5494505,34,0.68,*,0,*,0,0,0,0,0,0
NT436,BMI - SHIRLEY OAKS HOSPITAL,49,13,0.2653061,11,0.8461538,6,0.4615385,4,0.6666667,28,7,0.25,7,1,4,0.5714286,3,0.75,*,*,*,*,*,4,*,3,*,*,*,*,*,*,0,*,0,*,21,6,0.2857143,4,0.6666667,2,0.3333333,1,0.5,21,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0
NT401,BMI - THE ALEXANDRA HOSPITAL,563,505,0.8969805,405,0.8019802,253,0.5009901,143,0.5652174,264,223,0.844697,186,0.8340807,99,0.4439462,54,0.5454545,257,*,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,299,282,0.9431438,219,0.7765957,154,0.5460993,89,0.5779221,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT403,BMI - THE BEARDWOOD HOSPITAL,345,308,0.8927536,283,0.9188312,155,0.5032468,106,0.683871,142,125,0.8802817,114,0.912,57,0.456,42,0.7368421,142,114,0.8028169,114,1,51,0.4473684,39,0.7647059,0,0,0,0,0,0,0,0,0,203,183,0.9014778,169,0.9234973,98,0.5355191,64,0.6530612,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT404,BMI - THE BEAUMONT HOSPITAL,280,273,0.975,239,0.8754579,163,0.5970696,107,0.6564417,104,110,1.0576923,92,0.8363636,57,0.5181818,43,0.754386,*,92,*,92,1,53,0.576087,42,0.7924528,*,0,*,0,0,0,0,0,0,176,163,0.9261364,147,0.9018405,106,0.6503067,64,0.6037736,*,*,*,*,*,*,*,*,0.6428571,*,*,*,*,*,*,*,0,*
NT406,BMI - THE BLACKHEATH HOSPITAL,114,100,0.877193,54,0.54,50,0.5,25,0.5,64,58,0.90625,33,0.5689655,30,0.5172414,16,0.5333333,*,33,*,33,1,14,0.4242424,4,0.2857143,*,0,*,0,0,0,0,0,0,50,42,0.84,21,0.5,20,0.4761905,9,0.45,*,*,*,*,*,*,0.55,*,0.3636364,*,*,*,*,*,0,*,0,*
NT408,BMI - THE CHAUCER HOSPITAL,126,118,0.9365079,105,0.8898305,57,0.4830508,40,0.7017544,27,28,1.037037,23,0.8214286,17,0.6071429,14,0.8235294,27,23,0.8518519,23,1,15,0.6521739,12,0.8,0,0,0,0,0,0,0,0,0,99,90,0.9090909,82,0.9111111,40,0.4444444,26,0.65,*,82,0.8367347,*,1,39,0.4756098,26,0.6666667,*,0,*,0,0,0,0,0,0
NT410,BMI - THE CHILTERN HOSPITAL,425,401,0.9435294,373,0.9301746,199,0.4962594,128,0.6432161,215,198,0.9209302,186,0.9393939,97,0.489899,65,0.6701031,215,186,0.8651163,186,1,95,0.5107527,63,0.6631579,0,0,0,0,0,0,0,0,0,210,203,0.9666667,187,0.9211823,102,0.5024631,63,0.6176471,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT411,BMI - THE CLEMENTINE CHURCHILL HOSPITAL,231,226,0.978355,192,0.8495575,124,0.5486726,73,0.5887097,47,52,1.106383,43,0.8269231,26,0.5,17,0.6538462,*,43,*,43,1,24,0.5581395,17,0.7083333,*,0,*,0,0,0,0,0,0,184,174,0.9456522,149,0.8563218,98,0.5632184,56,0.5714286,*,*,*,*,*,*,0.6081081,*,0.6222222,*,*,*,*,*,0,*,0,*
NT412,BMI - THE DROITWICH SPA HOSPITAL,246,194,0.7886179,169,0.871134,105,0.5412371,74,0.7047619,114,90,0.7894737,82,0.9111111,43,0.4777778,33,0.7674419,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,132,104,0.7878788,87,0.8365385,62,0.5961538,41,0.6612903,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT413,BMI - THE ESPERANCE HOSPITAL,19,24,1.2631579,12,0.5,24,1,14,0.5833333,10,10,1,5,0.5,10,1,7,0.7,10,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,9,14,1.5555556,7,0.5,14,1,7,0.5,9,7,0.7777778,7,1,7,1,4,0.5714286,0,0,0,0,0,0,0,0,0
NT418,BMI - THE HAMPSHIRE CLINIC,180,181,1.0055556,152,0.839779,92,0.5082873,68,0.7391304,104,106,1.0192308,90,0.8490566,57,0.5377358,39,0.6842105,*,90,*,90,1,54,0.6,37,0.6851852,*,0,*,0,0,0,0,0,0,76,75,0.9868421,62,0.8266667,35,0.4666667,29,0.8285714,*,*,*,*,*,*,0.5081967,*,0.8387097,*,*,*,*,*,0,*,0,*
NT419,BMI - THE HARBOUR HOSPITAL,179,82,0.4581006,79,0.9634146,40,0.4878049,27,0.675,85,38,0.4470588,37,0.9736842,17,0.4473684,12,0.7058824,85,37,0.4352941,37,1,17,0.4594595,12,0.7058824,0,0,0,0,0,0,0,0,0,94,44,0.4680851,42,0.9545455,23,0.5227273,15,0.6521739,94,42,0.4468085,42,1,23,0.547619,15,0.6521739,0,0,0,0,0,0,0,0,0
NT420,BMI - THE HIGHFIELD HOSPITAL,646,519,0.8034056,427,0.822736,207,0.3988439,114,0.5507246,252,190,0.7539683,164,0.8631579,79,0.4157895,45,0.5696203,*,*,*,*,*,70,*,42,*,*,*,*,*,*,0,*,0,*,394,329,0.8350254,263,0.7993921,128,0.3890578,69,0.5390625,*,*,*,*,*,*,*,*,0.587156,*,*,*,*,*,*,*,0,*
NT421,BMI - THE KINGS OAK HOSPITAL,61,35,0.5737705,26,0.7428571,19,0.5428571,8,0.4210526,38,19,0.5,18,0.9473684,11,0.5789474,5,0.4545455,38,18,0.4736842,18,1,11,0.6111111,5,0.4545455,0,0,0,0,0,0,0,0,0,23,16,0.6956522,8,0.5,8,0.5,3,0.375,23,8,0.3478261,8,1,6,0.75,3,0.5,0,0,0,0,0,0,0,0,0
NT422,BMI - THE LONDON INDEPENDENT HOSPITAL,87,79,0.908046,57,0.721519,44,0.556962,27,0.6136364,32,35,1.09375,25,0.7142857,20,0.5714286,13,0.65,32,25,0.78125,25,1,12,0.48,7,0.5833333,0,0,0,0,0,0,0,0,0,55,44,0.8,32,0.7272727,24,0.5454545,14,0.5833333,55,32,0.5818182,32,1,15,0.46875,12,0.8,0,0,0,0,0,0,0,0,0
NT423,BMI - THE MANOR HOSPITAL,146,90,0.6164384,77,0.8555556,67,0.7444444,49,0.7313433,87,62,0.7126437,54,0.8709677,50,0.8064516,37,0.74,87,54,0.6206897,54,1,42,0.7777778,34,0.8095238,0,0,0,0,0,0,0,0,0,59,28,0.4745763,23,0.8214286,17,0.6071429,12,0.7058824,59,23,0.3898305,23,1,14,0.6086957,10,0.7142857,0,0,0,0,0,0,0,0,0
NT424,BMI - THE MERIDEN HOSPITAL,235,280,1.1914894,213,0.7607143,140,0.5,86,0.6142857,88,96,1.0909091,78,0.8125,48,0.5,29,0.6041667,*,*,*,*,*,*,*,28,*,*,*,*,*,*,*,*,0,*,147,184,1.2517007,135,0.7336957,92,0.5,57,0.6195652,140,129,0.9214286,129,1,75,0.5813953,52,0.6933333,7,6,0.8571429,6,1,3,0.5,1,0.3333333
NT427,BMI - THE PARK HOSPITAL,386,260,0.6735751,233,0.8961538,117,0.45,77,0.6581197,129,65,0.503876,59,0.9076923,27,0.4153846,20,0.7407407,129,59,0.4573643,59,1,26,0.440678,20,0.7692308,0,0,0,0,0,0,0,0,0,257,195,0.7587549,174,0.8923077,90,0.4615385,57,0.6333333,*,*,*,*,*,*,0.5028902,*,0.6321839,*,*,*,*,*,0,*,0,*
NT428,BMI - THE PRINCESS MARGARET HOSPITAL,34,24,0.7058824,21,0.875,13,0.5416667,7,0.5384615,12,7,0.5833333,7,1,5,0.7142857,2,0.4,12,7,0.5833333,7,1,5,0.7142857,2,0.4,0,0,0,0,0,0,0,0,0,22,17,0.7727273,14,0.8235294,8,0.4705882,5,0.625,22,14,0.6363636,14,1,8,0.5714286,5,0.625,0,0,0,0,0,0,0,0,0
NT429,BMI - THE PRIORY HOSPITAL,148,106,0.7162162,73,0.6886792,71,0.6698113,47,0.6619718,49,38,0.7755102,28,0.7368421,24,0.6315789,18,0.75,49,28,0.5714286,28,1,22,0.7857143,17,0.7727273,0,0,0,0,0,0,0,0,0,99,68,0.6868687,45,0.6617647,47,0.6911765,29,0.6170213,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT430,BMI - THE RIDGEWAY HOSPITAL,226,230,1.0176991,197,0.8565217,129,0.5608696,87,0.6744186,111,112,1.009009,95,0.8482143,66,0.5892857,41,0.6212121,111,95,0.8558559,95,1,59,0.6210526,38,0.6440678,0,0,0,0,0,0,0,0,0,115,118,1.026087,102,0.8644068,63,0.5338983,46,0.7301587,109,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*
NT431,BMI - THE RUNNYMEDE HOSPITAL,29,27,0.9310345,25,0.9259259,14,0.5185185,10,0.7142857,16,13,0.8125,12,0.9230769,8,0.6153846,6,0.75,16,12,0.75,12,1,8,0.6666667,6,0.75,0,0,0,0,0,0,0,0,0,13,14,1.0769231,13,0.9285714,6,0.4285714,4,0.6666667,13,13,1,13,1,6,0.4615385,4,0.6666667,0,0,0,0,0,0,0,0,0
NT432,BMI - THE SANDRINGHAM HOSPITAL,238,333,1.3991597,208,0.6246246,186,0.5585586,134,0.7204301,139,176,1.2661871,122,0.6931818,107,0.6079545,77,0.7196262,139,122,0.8776978,122,1,76,0.6229508,56,0.7368421,0,0,0,0,0,0,0,0,0,99,157,1.5858586,86,0.5477707,79,0.5031847,57,0.721519,99,86,0.8686869,86,1,44,0.5116279,30,0.6818182,0,0,0,0,0,0,0,0,0
NT434,BMI - THE SAXON CLINIC,250,236,0.944,203,0.8601695,146,0.6186441,78,0.5342466,112,109,0.9732143,93,0.853211,63,0.5779817,38,0.6031746,112,93,0.8303571,93,1,54,0.5806452,33,0.6111111,0,0,0,0,0,0,0,0,0,138,127,0.9202899,110,0.8661417,83,0.6535433,40,0.4819277,138,110,0.7971014,110,1,72,0.6545455,37,0.5138889,0,0,0,0,0,0,0,0,0
NT437,BMI - THE SLOANE HOSPITAL,84,73,0.8690476,65,0.890411,37,0.5068493,25,0.6756757,42,41,0.9761905,36,0.8780488,21,0.5121951,15,0.7142857,42,36,0.8571429,36,1,19,0.5277778,15,0.7894737,0,0,0,0,0,0,0,0,0,42,32,0.7619048,29,0.90625,16,0.5,10,0.625,42,29,0.6904762,29,1,13,0.4482759,10,0.7692308,0,0,0,0,0,0,0,0,0
NT439,BMI - THE SOUTH CHESHIRE PRIVATE HOSPITAL,70,71,1.0142857,60,0.8450704,45,0.6338028,33,0.7333333,29,31,1.0689655,26,0.8387097,18,0.5806452,14,0.7777778,29,26,0.8965517,26,1,15,0.5769231,13,0.8666667,0,0,0,0,0,0,0,0,0,41,40,0.9756098,34,0.85,27,0.675,19,0.7037037,41,34,0.8292683,34,1,23,0.6764706,17,0.7391304,0,0,0,0,0,0,0,0,0
NT443,BMI - THE WINTERBOURNE HOSPITAL,285,274,0.9614035,218,0.7956204,148,0.540146,102,0.6891892,155,153,0.9870968,124,0.8104575,78,0.5098039,57,0.7307692,155,124,0.8,124,1,74,0.5967742,56,0.7567568,0,0,0,0,0,0,0,0,0,130,121,0.9307692,94,0.7768595,70,0.5785124,45,0.6428571,*,94,0.7286822,*,1,62,0.6595745,44,0.7096774,*,0,*,0,0,0,0,0,0
NT440,BMI - THORNBURY HOSPITAL,124,108,0.8709677,81,0.75,41,0.3796296,32,0.7804878,79,50,0.6329114,45,0.9,17,0.34,13,0.7647059,72,*,*,*,*,15,*,12,*,7,*,*,*,*,0,*,0,*,45,58,1.2888889,36,0.6206897,24,0.4137931,19,0.7916667,*,36,0.8181818,*,1,15,0.4166667,13,0.8666667,*,0,*,0,0,0,0,0,0
NT441,BMI - THREE SHIRES HOSPITAL,566,442,0.7809187,381,0.861991,290,0.6561086,179,0.6172414,240,192,0.8,171,0.890625,127,0.6614583,80,0.6299213,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,326,250,0.7668712,210,0.84,163,0.652,99,0.607362,317,*,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*
NT455,BMI MOUNT ALVERNIA HOSPITAL,43,97,2.255814,32,0.3298969,71,0.7319588,45,0.6338028,16,37,2.3125,10,0.2702703,29,0.7837838,20,0.6896552,16,10,0.625,10,1,7,0.7,6,0.8571429,0,0,0,0,0,0,0,0,0,27,60,2.2222222,22,0.3666667,42,0.7,25,0.5952381,27,22,0.8148148,22,1,16,0.7272727,10,0.625,0,0,0,0,0,0,0,0,0
NT446,BMI ST EDMUNDS HOSPITAL,313,286,0.913738,241,0.8426573,152,0.5314685,114,0.75,169,153,0.9053254,139,0.9084967,87,0.5686275,70,0.8045977,169,139,0.8224852,139,1,82,0.5899281,66,0.804878,0,0,0,0,0,0,0,0,0,144,133,0.9236111,102,0.7669173,65,0.4887218,44,0.6769231,*,102,0.7132867,*,1,51,0.5,35,0.6862745,*,0,*,0,0,0,0,0,0
